BET TRACKER - NEAR-TERM ACTION
==============================

This file is a plain-text digest of Nick Ritchey's personal sports-betting
tracker. All figures are precomputed. Conventions: 'To Win' is PROFIT, not
total payout (payout = Risk + To Win). Settled excludes pending/refunded.
Generated: 2026-09-16 21:06 UTC


Local date: 2026-09-16  (as of 2026-09-16 14:06 PDT)

Game bets and short-dated outrights only, sorted by SETTLE date (soonest
first). Season-long futures are excluded on purpose - they live in
futures.txt. 'Event Date' is when the bet grades, not when it was placed.

Near-term open: 78   Risk: $1,040.00   Max win: $18,573.90

NEEDS GRADING - 78 bet(s), risk $1,040.00
These events have finished but are still marked pending.
  [1849] 2026-09-03 (13d ago) | risk $20.00 | RR 2-way: San Jose St ML +135 + Wyoming ML +140
  [1869] 2026-09-03 (13d ago) | risk $20.00 | RR 4-way: San Jose St ML +135 + Wyoming ML +140 + California ML +105 + Nevada ML +115
  [1870] 2026-09-03 (13d ago) | risk $20.00 | RR 4-way: San Jose St ML +135 + Wyoming ML +140 + California ML +105 + SMU ML -160
  [1871] 2026-09-03 (13d ago) | risk $20.00 | RR 4-way: San Jose St ML +135 + Wyoming ML +140 + Nevada ML +115 + SMU ML -160
  [1872] 2026-09-03 (13d ago) | risk $20.00 | RR 4-way: San Jose St ML +135 + California ML +105 + Nevada ML +115 + SMU ML -160
  [1873] 2026-09-03 (13d ago) | risk $20.00 | RR 4-way: Wyoming ML +140 + California ML +105 + Nevada ML +115 + SMU ML -160
  [1874] 2026-09-03 (13d ago) | risk $20.00 | RR 5-way: San Jose St ML +135 + Wyoming ML +140 + California ML +105 + Nevada ML +115 + SMU ML -160
  [1875] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: Colorado ML +200 + Clemson ML +305
  [1876] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: Colorado ML +200 + California ML +105
  [1877] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: Colorado ML +200 + Louisville ML +220
  [1878] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: Colorado ML +200 + Hawaii ML +125
  [1879] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: Clemson ML +305 + California ML +105
  [1880] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: Clemson ML +305 + Louisville ML +220
  [1881] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: Clemson ML +305 + Hawaii ML +125
  [1882] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: California ML +105 + Louisville ML +220
  [1883] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: California ML +105 + Hawaii ML +125
  [1884] 2026-09-03 (13d ago) | risk $10.00 | RR 2-way: Louisville ML +220 + Hawaii ML +125
  [1885] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Colorado ML +200 + Clemson ML +305 + California ML +105
  [1886] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Colorado ML +200 + Clemson ML +305 + Louisville ML +220
  [1887] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Colorado ML +200 + Clemson ML +305 + Hawaii ML +125
  [1888] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Colorado ML +200 + California ML +105 + Louisville ML +220
  [1889] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Colorado ML +200 + California ML +105 + Hawaii ML +125
  [1890] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Colorado ML +200 + Louisville ML +220 + Hawaii ML +125
  [1891] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Clemson ML +305 + California ML +105 + Louisville ML +220
  [1892] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Clemson ML +305 + California ML +105 + Hawaii ML +125
  [1893] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: Clemson ML +305 + Louisville ML +220 + Hawaii ML +125
  [1894] 2026-09-03 (13d ago) | risk $10.00 | RR 3-way: California ML +105 + Louisville ML +220 + Hawaii ML +125
  [1895] 2026-09-03 (13d ago) | risk $10.00 | RR 4-way: Colorado ML +200 + Clemson ML +305 + California ML +105 + Louisville ML +220
  [1896] 2026-09-03 (13d ago) | risk $10.00 | RR 4-way: Colorado ML +200 + Clemson ML +305 + California ML +105 + Hawaii ML +125
  [1897] 2026-09-03 (13d ago) | risk $10.00 | RR 4-way: Colorado ML +200 + Clemson ML +305 + Louisville ML +220 + Hawaii ML +125
  [1898] 2026-09-03 (13d ago) | risk $10.00 | RR 4-way: Colorado ML +200 + California ML +105 + Louisville ML +220 + Hawaii ML +125
  [1899] 2026-09-03 (13d ago) | risk $10.00 | RR 4-way: Clemson ML +305 + California ML +105 + Louisville ML +220 + Hawaii ML +125
  [1900] 2026-09-03 (13d ago) | risk $10.00 | RR 5-way: Colorado ML +200 + Clemson ML +305 + California ML +105 + Louisville ML +220 + Hawaii ML +125
  [1901] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Kansas ML +160 + Appalachian St ML +205
  [1902] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Kansas ML +160 + Duke ML +195
  [1903] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Kansas ML +160 + JAX State ML +115
  [1904] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Kansas ML +160 + Rutgers ML +130
  [1905] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Appalachian St ML +205 + Duke ML +195
  [1906] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Appalachian St ML +205 + JAX State ML +115
  [1907] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Appalachian St ML +205 + Rutgers ML +130
  [1908] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Duke ML +195 + JAX State ML +115
  [1909] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: Duke ML +195 + Rutgers ML +130
  [1910] 2026-09-11 (5d ago) | risk $10.00 | RR 2-way: JAX State ML +115 + Rutgers ML +130
  [1911] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Kansas ML +160 + Appalachian St ML +205 + Duke ML +195
  [1912] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Kansas ML +160 + Appalachian St ML +205 + JAX State ML +115
  [1913] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Kansas ML +160 + Appalachian St ML +205 + Rutgers ML +130
  [1914] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Kansas ML +160 + Duke ML +195 + JAX State ML +115
  [1915] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Kansas ML +160 + Duke ML +195 + Rutgers ML +130
  [1916] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Kansas ML +160 + JAX State ML +115 + Rutgers ML +130
  [1917] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Appalachian St ML +205 + Duke ML +195 + JAX State ML +115
  [1918] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Appalachian St ML +205 + Duke ML +195 + Rutgers ML +130
  [1919] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Appalachian St ML +205 + JAX State ML +115 + Rutgers ML +130
  [1920] 2026-09-11 (5d ago) | risk $10.00 | RR 3-way: Duke ML +195 + JAX State ML +115 + Rutgers ML +130
  [1921] 2026-09-11 (5d ago) | risk $10.00 | RR 4-way: Kansas ML +160 + Appalachian St ML +205 + Duke ML +195 + JAX State ML +115
  [1922] 2026-09-11 (5d ago) | risk $10.00 | RR 4-way: Kansas ML +160 + Appalachian St ML +205 + Duke ML +195 + Rutgers ML +130
  [1923] 2026-09-11 (5d ago) | risk $10.00 | RR 4-way: Kansas ML +160 + Appalachian St ML +205 + JAX State ML +115 + Rutgers ML +130
  [1924] 2026-09-11 (5d ago) | risk $10.00 | RR 4-way: Kansas ML +160 + Duke ML +195 + JAX State ML +115 + Rutgers ML +130
  [1925] 2026-09-11 (5d ago) | risk $10.00 | RR 4-way: Appalachian St ML +205 + Duke ML +195 + JAX State ML +115 + Rutgers ML +130
  [1926] 2026-09-11 (5d ago) | risk $10.00 | RR 5-way: Kansas ML +160 + Appalachian St ML +205 + Duke ML +195 + JAX State ML +115 + Rutgers ML +130

No upcoming near-term bets. Everything open is a season-long future.

FUTURES GRADING WITHIN 21 DAYS: 1, risk $1,000.00, max win $1,100.00
  [1750] 2026-09-27 | Seattle Mariners | +110 | risk $1,000.00 | win $1,100.00 | Wagerhouse  <- MLB 2026 Division Winner - American League West - 

